AL, 06, 2019082218, 03, AVNO,   6, 245N,  782W,  17, 1013, XX,  34, NEQ,    0,    0,    0,    0,  -99,  -99, 121,   0,   0, 
AL, 06, 2019082218, 03, AVNO,  12, 250N,  792W,  17, 1013, XX,  34, NEQ,    0,    0,    0,    0,  -99,  -99,  83,   0,   0, 
AL, 06, 2019082218, 03, AVNO,  18, 264N,  796W,  17, 1014, XX,  34, NEQ,    0,    0,    0,    0,  -99,  -99,  81,   0,   0, 
AL, 06, 2019082218, 03, AVNO,  24, 264N,  806W,  19, 1013, XX,  34, NEQ,    0,    0,    0,    0,  -99,  -99, 157,   0,   0, 
AL, 06, 2019082218, 03, AVNO,  30, 263N,  813W,  21, 1012, XX,  34, NEQ,    0,    0,    0,    0,  -99,  -99, 157,   0,   0, 
AL, 06, 2019082218, 03, AVNO,  36, 261N,  821W,  17, 1012, XX,  34, NEQ,    0,    0,    0,    0,  -99,  -99, 150,   0,   0, 
AL, 06, 2019082218, 03, AVNO,  42, 259N,  828W,  13, 1012, XX,  34, NEQ,    0,    0,    0,    0,  -99,  -99,  46,   0,   0, 
AL, 06, 2019082218, 03, AVNO,  48, 261N,  832W,  14, 1013, XX,  34, NEQ,    0,    0,    0,    0,  -99,  -99,  69,   0,   0, 
AL, 06, 2019082218, 03, AVNO,  54, 260N,  838W,  13, 1011, XX,  34, NEQ,    0,    0,    0,    0,  -99,  -99,  80,   0,   0, 
AL, 06, 2019082218, 03, AVNO,  60, 259N,  842W,  13, 1012, XX,  34, NEQ,    0,    0,    0,    0,  -99,  -99, 152,   0,   0, 
AL, 06, 2019082218, 03, AVNO,  66, 262N,  848W,  13, 1011, XX,  34, NEQ,    0,    0,    0,    0,  -99,  -99, 161,   0,   0, 
AL, 06, 2019082218, 03, AVNO,  72, 266N,  850W,  15, 1012, XX,  34, NEQ,    0,    0,    0,    0,  -99,  -99, 156,   0,   0, 
AL, 06, 2019082218, 03, AVNO,  78, 270N,  850W,  13, 1011, XX,  34, NEQ,    0,    0,    0,    0,  -99,  -99,  43,   0,   0, 
AL, 06, 2019082218, 03, AVNO,  84, 275N,  854W,  12, 1011, XX,  34, NEQ,    0,    0,    0,    0,  -99,  -99,  87,   0,   0, 
AL, 06, 2019082218, 03, AVNO,  90, 284N,  853W,  14, 1012, XX,  34, NEQ,    0,    0,    0,    0,  -99,  -99,  95,   0,   0, 
AL, 06, 2019082218, 03, AVNO,  96, 297N,  855W,  14, 1012, XX,  34, NEQ,    0,    0,    0,    0,  -99,  -99, 151,   0,   0, 
AL, 06, 2019082218, 03, CLP5,  12, 260N,  791W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
