AL, 11, 2019091700, 03, AP07,  54, 302N,  965W,  20, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 11, 2019091700, 03, AP07,  60, 307N,  967W,  18, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 11, 2019091700, 03, AP07,  66, 314N,  970W,  20, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 11, 2019091700, 03, AP07,  72, 320N,  977W,  21, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 11, 2019091700, 03, AP07,  78, 332N,  987W,  20, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 11, 2019091700, 03, AP07,  84, 345N,  987W,  19, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 11, 2019091700, 03, AP07,  90, 365N,  982W,  21, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 11, 2019091700, 03, AP08,   0, 275N,  960W,  18, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 11, 2019091700, 03, AP08,   6, 280N,  963W,  16, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 11, 2019091700, 03, AP08,  12, 279N,  965W,  18, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 11, 2019091700, 03, AP08,  18, 281N,  964W,  19, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 11, 2019091700, 03, AP08,  24, 285N,  958W,  18, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 11, 2019091700, 03, AP08,  30, 290N,  956W,  19, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 11, 2019091700, 03, AP08,  36, 294N,  954W,  18, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 11, 2019091700, 03, AP08,  42, 296N,  953W,  21, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 11, 2019091700, 03, AP08,  48, 298N,  953W,  22, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 11, 2019091700, 03, AP08,  54, 301N,  958W,  22, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 11, 2019091700, 03, AP08,  60, 304N,  960W,  23, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 11, 2019091700, 03, AP08,  66, 311N,  964W,  16, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 11, 2019091700, 03, AP08,  72, 318N,  968W,  16, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 11, 2019091700, 03, AP08,  78, 332N,  978W,  18, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 11, 2019091700, 03, AP09,   0, 273N,  961W,  21, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 11, 2019091700, 03, AP09,   6, 273N,  963W,  16, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 11, 2019091700, 03, AP09,  12, 276N,  962W,  17, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
